Top queries,Clicks,Impressions,CTR,Position,is_branded,CTR_pct
ng solutions,1,87,1.15%,7.45,True,1.15
ng solutions cleaning,0,27,0%,77.78,True,0.0
ng training,0,17,0%,9.94,True,0.0
ng consultant,0,6,0%,16.33,True,0.0
ng solutions llc,0,5,0%,48.6,True,0.0
ng solution,0,3,0%,4.0,True,0.0
ngsolutions,0,3,0%,4.67,True,0.0
ngi,0,3,0%,5.0,True,0.0
cursos limpieza online,0,3,0%,10.0,False,0.0
ng soluciones,0,3,0%,22.0,True,0.0
ngmt,0,2,0%,6.0,True,0.0
ng,0,2,0%,9.5,True,0.0
ng academy,0,2,0%,10.0,True,0.0
limpie en inglés,0,2,0%,80.0,True,0.0
ngm solutions,0,1,0%,1.0,True,0.0
ngl,0,1,0%,2.0,True,0.0
training consultants,0,1,0%,2.0,True,0.0
ngt training,0,1,0%,4.0,True,0.0
ngngg,0,1,0%,5.0,True,0.0
solutions training,0,1,0%,5.0,True,0.0
ngls,0,1,0%,6.0,True,0.0
ngpt,0,1,0%,7.0,True,0.0
solution ng,0,1,0%,8.0,True,0.0
ngbng,0,1,0%,9.0,True,0.0
nggyunglydngraady solution,0,1,0%,10.0,True,0.0
cursos online de limpieza,0,1,0%,12.0,False,0.0
ngs hands on training,0,1,0%,13.0,True,0.0
ph de los productos de limpieza,0,1,0%,61.0,False,0.0
cursos de limpieza en línea,0,1,0%,75.0,False,0.0
