keyword,avg_monthly_searches,competition,intent,funnel_stage,cluster,target_url,sources
capacitación de limpieza,50.0,Low,Comercial,MOFU/BOFU,Cursos de limpieza,https://ngsolutions.training/tienda/,Keyword Stats 2025-12-30 at 02_27_33.csv
clases de limpieza,50.0,Low,Comercial,MOFU/BOFU,Cursos de limpieza,https://ngsolutions.training/tienda/,Keyword Stats 2025-12-30 at 02_27_33.csv
curso limpieza profesional,50.0,Unknown,Comercial,MOFU/BOFU,Cursos de limpieza,https://ngsolutions.training/tienda/,Keyword Stats 2025-12-30 at 02_27_33.csv
cursos de capacitación para personal de limpieza,50.0,Low,Comercial,MOFU/BOFU,Cursos de limpieza,https://ngsolutions.training/tienda/,Keyword Stats 2025-12-30 at 02_27_33.csv
cursos de limpieza,50.0,Medium,Comercial,MOFU/BOFU,Cursos de limpieza,https://ngsolutions.training/tienda/,Keyword Stats 2025-12-30 at 02_27_33.csv
cursos de limpieza online,50.0,Unknown,Comercial,MOFU/BOFU,Cursos de limpieza,https://ngsolutions.training/tienda/,Keyword Stats 2025-12-30 at 02_27_33.csv
cursos de limpieza profesional,50.0,Medium,Comercial,MOFU/BOFU,Cursos de limpieza,https://ngsolutions.training/tienda/,Keyword Stats 2025-12-30 at 02_27_33.csv
cursos de quimicos para limpieza,50.0,Unknown,Comercial,MOFU/BOFU,Cursos de limpieza,https://ngsolutions.training/tienda/,Keyword Stats 2025-12-30 at 02_27_33.csv
cursos limpieza,50.0,Low,Comercial,MOFU/BOFU,Cursos de limpieza,https://ngsolutions.training/tienda/,Keyword Stats 2025-12-30 at 02_27_33.csv
cursos limpieza online,50.0,Unknown,Comercial,MOFU/BOFU,Cursos de limpieza,https://ngsolutions.training/tienda/,Keyword Stats 2025-12-30 at 02_27_33.csv
cursos online de limpieza,0.0,Unknown,Comercial,MOFU/BOFU,Cursos de limpieza,https://ngsolutions.training/tienda/,Keyword Stats 2025-12-30 at 02_27_33.csv
cursos para limpieza,50.0,Unknown,Comercial,MOFU/BOFU,Cursos de limpieza,https://ngsolutions.training/tienda/,Keyword Stats 2025-12-30 at 02_27_33.csv
cursos para personal de limpieza,50.0,Unknown,Comercial,MOFU/BOFU,Cursos de limpieza,https://ngsolutions.training/tienda/,Keyword Stats 2025-12-30 at 02_27_33.csv
cursos para personal de limpieza gratis,50.0,Low,Comercial,MOFU/BOFU,Cursos de limpieza,https://ngsolutions.training/tienda/,Keyword Stats 2025-12-30 at 02_27_33.csv
cursos personal de limpieza,0.0,Unknown,Comercial,MOFU/BOFU,Cursos de limpieza,https://ngsolutions.training/tienda/,Keyword Stats 2025-12-30 at 02_27_33.csv
cursos productos de limpieza,50.0,Medium,Comercial,MOFU/BOFU,Cursos de limpieza,https://ngsolutions.training/tienda/,Keyword Stats 2025-12-30 at 02_27_33.csv
